Average Speed-up: 98.96%
Average Speed-up Factor: 107.20x

Hydrograph H53: Ground Truth = 80.90s, AI Model = 1.30s, Speed-up = 98.39%, Speed-up Factor = 62.23x
Hydrograph H54: Ground Truth = 80.97s, AI Model = 0.86s, Speed-up = 98.94%, Speed-up Factor = 94.15x
Hydrograph H55: Ground Truth = 85.90s, AI Model = 1.29s, Speed-up = 98.50%, Speed-up Factor = 66.59x
Hydrograph H56: Ground Truth = 86.16s, AI Model = 1.28s, Speed-up = 98.51%, Speed-up Factor = 67.31x
Hydrograph H57: Ground Truth = 80.99s, AI Model = 1.50s, Speed-up = 98.15%, Speed-up Factor = 53.99x
Hydrograph H58: Ground Truth = 85.91s, AI Model = 1.20s, Speed-up = 98.60%, Speed-up Factor = 71.59x
Hydrograph H59: Ground Truth = 80.93s, AI Model = 0.65s, Speed-up = 99.20%, Speed-up Factor = 124.51x
Hydrograph H60: Ground Truth = 81.00s, AI Model = 1.29s, Speed-up = 98.41%, Speed-up Factor = 62.79x
Hydrograph H61: Ground Truth = 86.01s, AI Model = 0.97s, Speed-up = 98.87%, Speed-up Factor = 88.67x
Hydrograph H62: Ground Truth = 75.88s, AI Model = 1.06s, Speed-up = 98.60%, Speed-up Factor = 71.58x
Hydrograph H63: Ground Truth = 81.04s, AI Model = 1.31s, Speed-up = 98.38%, Speed-up Factor = 61.86x
Hydrograph H64: Ground Truth = 80.95s, AI Model = 1.29s, Speed-up = 98.41%, Speed-up Factor = 62.75x
Hydrograph H65: Ground Truth = 75.95s, AI Model = 1.06s, Speed-up = 98.60%, Speed-up Factor = 71.65x
Hydrograph H66: Ground Truth = 75.99s, AI Model = 0.94s, Speed-up = 98.76%, Speed-up Factor = 80.84x
Hydrograph H67: Ground Truth = 86.09s, AI Model = 0.97s, Speed-up = 98.87%, Speed-up Factor = 88.75x
Hydrograph H68: Ground Truth = 81.12s, AI Model = 1.28s, Speed-up = 98.42%, Speed-up Factor = 63.38x
Hydrograph H69: Ground Truth = 86.01s, AI Model = 1.29s, Speed-up = 98.50%, Speed-up Factor = 66.67x
Hydrograph H70: Ground Truth = 86.12s, AI Model = 0.96s, Speed-up = 98.89%, Speed-up Factor = 89.71x
Hydrograph H71: Ground Truth = 80.93s, AI Model = 1.17s, Speed-up = 98.55%, Speed-up Factor = 69.17x
